time,cwnd,bytes_in_flight
11.99,15605,0
12,15605,0
12.01,15605,0
12.02,15605,0
12.03,15605,0
12.04,15605,0
12.05,15605,0
12.06,15605,0
12.07,15605,0
12.08,15605,0
12.09,15605,0
12.1,15605,0
12.11,15605,0
12.12,15605,0
12.13,15605,0
12.14,15605,0
12.15,15605,0
12.16,15605,0
12.17,15605,0
12.18,15605,0
12.19,15605,0
12.2,15605,0
12.21,15605,0
12.22,15605,0
12.23,15605,0
12.24,15605,0
12.25,15605,0
12.26,15605,0
12.27,15605,0
12.28,15605,0
12.29,15605,0
12.3,15605,0
12.31,15605,0
12.32,15605,0
12.33,15605,0
12.34,15605,0
12.35,15605,0
12.36,15605,0
12.37,15605,0
12.38,15605,0
12.39,15605,0
12.4,15605,0
12.41,15605,0
12.42,15605,0
12.43,15605,0
12.44,15605,0
12.45,15605,0
12.46,15605,0
12.47,15605,0
12.48,15605,0
12.49,15605,0
12.5,15605,0
12.51,15605,0
12.52,15605,0
12.53,15605,0
12.54,15605,0
12.55,15605,0
12.56,15605,0
12.57,15605,0
12.58,15605,0
12.59,15605,0
12.6,15605,0
12.61,15605,0
12.62,15605,0
12.63,15605,0
12.64,15605,0
12.65,15605,0
12.66,15605,0
12.67,15605,0
12.68,15605,0
12.69,15605,0
12.7,15605,0
12.71,15605,0
12.72,15605,0
12.73,15605,0
12.74,15605,0
12.75,15605,0
12.76,15605,0
12.77,15605,0
12.78,15605,0
12.79,15605,0
12.8,15605,0
12.81,15605,0
12.82,15605,0
12.83,15605,0
12.84,15605,0
12.85,15605,0
12.86,15605,0
12.87,15605,0
12.88,15605,0
12.89,15605,0
12.9,15605,0
12.91,15605,0
12.92,15605,0
12.93,15605,0
12.94,15605,0
12.95,15605,0
12.96,15605,0
12.97,15605,0
12.98,15605,0
12.99,15605,0
13,15605,0
13.01,15605,0
13.02,15605,0
13.03,15605,0
13.04,15605,0
13.05,15605,0
13.06,15605,0
13.07,15605,0
13.08,15605,0
13.09,15605,0
13.1,15605,0
